year,id,ch_name,en_name,type,duration,magnitude,hpa,wind_speed,r7_km,r10_km,alert_level
,,,,,1984/7/4 09:00,,,,,,
1984,198402,魏恩,WYNNE,4,1984/6/21 14:45,輕度,982,28,150,---,13
,,,,,1984/6/24 14:25,,,,,,
1983,198310,佛瑞特,FORREST,---,1983/9/23 21:10,強烈,883,65,400,200,14
,,,,,1983/9/27 04:30,,,,,,
1983,198309,艾倫,ELLEN,5,1983/9/5 21:00,強烈,928,63,250,120,11
,,,,,1983/9/8 09:10,,,,,,
1983,198305,艾貝,ABBY,---,1983/8/9 16:00,強烈,888,67,400,200,15
,,,,,1983/8/13 04:30,,,,,,
1983,198304,韋恩,WAYNE,5,1983/7/23 15:30,強烈,920,63,250,120,10
,,,,,1983/7/25 20:50,,,,,,
1982,198223,南施,NANCY,---,1982/10/14 08:50,強烈,933,58,200,100,6
,,,,,1982/10/15 14:40,,,,,,
1982,198220,肯恩,KEN,---,1982/9/18 15:20,強烈,936,55,250,120,18
,,,,,1982/9/22 20:10,,,,,,
1982,198215,費依,FAYE,---,1982/8/26 03:15,輕度,961,25,100,---,6
,,,,,1982/8/27 08:55,,,,,,
1982,198213,黛特,DOT,4,1982/8/13 09:40,中度,966,33,200,100,11
,,,,,1982/8/15 20:30,,,,,,
1982,198212,西仕,CECIL,6,1982/8/6 10:10,強烈,920,55,220,140,20
,,,,,1982/8/10 21:30,,,,,,
1982,198210,安迪,ANDY,4,1982/7/26 15:40,強烈,915,60,300,100,16
,,,,,1982/7/30 09:10,,,,,,
1982,198207,蒂絲,TESS,---,1982/7/1 15:30,輕度,990,18,100,---,4
,,,,,1982/7/2 09:20,,,,,,
1981,198125,伊瑪,IRMA,---,1981/11/25 09:45,輕度,902,28,200,---,7
,,,,,1981/11/26 21:15,,,,,,
1981,198123,蓋依,GAY,---,1981/10/20 14:00,中度,947,45,300,100,4
,,,,,1981/10/21 09:00,,,,,,
1981,198119,葛萊拉,CLARA,5,1981/9/19 09:45,強烈,924,58,250,100,12
,,,,,1981/9/22 04:00,,,,,,
1981,198117,艾妮絲,AGNES,1,1981/8/29 16:00,中度,947,47,300,120,9
,,,,,1981/8/31 15:00,,,,,,
1981,198108,莫瑞,MAURY,1,1981/7/18 15:50,輕度,985,30,180,30,8
,,,,,1981/7/20 08:15,,,,,,
1981,198105,裘恩,JUNE,6,1981/6/18 15:10,中度,965,38,250,60,12
,,,,,1981/6/21 10:00,,,,,,
1981,198104,艾克,IKE,9,1981/6/12 15:00,輕度,967,30,150,30,8
,,,,,1981/6/14 04:45,,,,,,
1980,198021,貝蒂,BETTY,---,1980/11/6 04:40,輕度,928,23,150,---,5
,,,,,1980/11/7 04:00,,,,,,
1980,198019,魏恩,WYNNE,---,1980/10/10 15:30,強烈,890,65,300,100,11
,,,,,1980/10/13 04:00,,,,,,
1980,198014,珀西,PERCY,4,1980/9/15 15:00,強烈,919,60,250,100,15
,,,,,1980/9/19 03:00,,,,,,
1980,198012,諾瑞斯,NORRIS,2,1980/8/26 15:30,中度,950,43,250,60,9
,,,,,1980/8/28 14:30,,,,,,
1980,198009,開梅,KIM,---,1980/7/25 10:00,中度,908,45,250,100,10
,,,,,1980/7/27 14:30,,,,,,
1980,198007,艾達,IDA,5,1980/7/8 14:30,輕度,980,30,200,40,13
,,,,,1980/7/11 15:15,,,,,,
1980,198005,喬琪亞,GEORGIA,---,1980/5/23 15:30,輕度,985,28,150,50,7
,,,,,1980/5/25 04:45,,,,,,
1979,197919,狄普,TIP,---,1979/10/15 16:00,強烈,870,58,450,200,13
,,,,,1979/10/18 14:10,,,,,,
1979,197915,奧文,OWEN,---,1979/9/25 21:00,強烈,920,53,300,120,7
,,,,,1979/9/27 09:30,,,,,,
1979,197910,茱迪,JUDY,---,1979/8/22 05:00,強烈,910,58,250,100,10
,,,,,1979/8/24 10:00,,,,,,
1979,197909,歐敏,IRVING,6,1979/8/12 15:00,中度,955,40,400,120,15
,,,,,1979/8/16 05:40,,,,,,
1979,197908,賀璞,HOPE,5,1979/7/31 16:15,強烈,895,67,300,110,9
,,,,,1979/8/2 15:05,,,,,,
1979,197907,戈登,GORDON,---,1979/7/27 10:10,輕度,970,28,200,50,9
,,,,,1979/7/29 09:20,,,,,,
1979,197905,艾勒士,ELLIS,---,1979/7/3 16:45,中度,950,45,250,100,8
,,,,,1979/7/5 09:30,,,,,,
1978,197823,婀拉,ORA,6,1978/10/11 15:30,中度,940,40,200,70,12
,,,,,1978/10/14 09:00,,,,,,
1978,197812,黛拉,DELLA,2,1978/8/12 15:40,輕度,985,20,150,---,5
,,,,,1978/8/13 15:00,,,,,,
1978,197811,卡門,CARMEN,---,1978/8/15 08:30,中度,965,38,200,100,6
,,,,,1978/8/16 15:00,,,,,,
1978,197808,范迪,WENDY,---,1978/7/27 06:30,中度,960,40,400,150,13
,,,,,1978/7/30 10:00,,,,,,
1978,197804,羅絲,ROSE,3,1978/6/23 15:00,輕度,993,20,150,---,7
,,,,,1978/6/25 05:00,,,,,,
1978,197802,歐莉芙,OLIVE,---,1978/4/24 14:45,中度,955,43,200,80,7
,,,,,1978/4/26 04:00,,,,,,
1977,197712,芙瑞達,FREDA,---,1977/9/24 04:10,輕度,980,28,200,50,3
,,,,,1977/9/24 15:00,,,,,,
1977,197710,黛納,DINAH,---,1977/9/15 10:30,中度,965,35,250,50,8
,,,,,1977/9/17 05:00,,,,,,
,,,,,1977/9/18 16:00,中度,965,33,250,50,17
,,,,,1977/9/22 15:40,,,,,,
1977,197708,寶佩,BABE,---,1977/9/7 16:00,強烈,910,65,350,150,9
,,,,,1977/9/9 15:30,,,,,,
1977,197707,愛美,AMY,7,1977/8/18 22:00,輕度,985,21,150,---,17
,,,,,1977/8/22 21:00,,,,,,
1977,197705,薇拉,VERA,2,1977/7/28 21:30,強烈,930,55,200,50,16
,,,,,1977/8/1 16:00,,,,,,
1977,197704,賽洛瑪,THELMA,7,1977/7/22 22:00,中度,950,40,250,70,13
,,,,,1977/7/25 21:30,,,,,,
1977,197702,魯絲,RUTH,---,1977/6/15 16:30,輕度,980,30,150,50,8
,,,,,1977/6/17 08:30,,,,,,
1976,197623,瑪芝,MARGE,---,1976/11/8 16:00,中度,975,33,100,30,8
,,,,,1976/11/10 09:30,,,,,,
1976,197622,魯依絲,LOUISE,---,1976/11/3 16:00,強烈,895,68,300,100,10
,,,,,1976/11/5 21:50,,,,,,
1976,197620,艾瑞絲,IRIS,---,1976/9/16 10:30,中度,975,35,200,50,8
,,,,,1976/9/18 05:00,,,,,,
1976,197617,芙安,FRAN,---,1976/9/7 16:00,強烈,910,68,400,100,9
,,,,,1976/9/9 15:00,,,,,,
1976,197615,戴特,DOT,---,1976/8/20 05:30,輕度,990,23,150,---,6
,,,,,1976/8/21 09:30,,,,,,
1976,197613,畢莉,BILLIE,2,1976/8/8 21:30,強烈,910,55,300,150,8
,,,,,1976/8/10 15:00,,,,,,
1976,197607,魯碧,RUBY,---,1976/6/27 16:30,中度,935,33,180,30,12
,,,,,1976/6/30 10:30,,,,,,
1975,197516,芙勞西,FLOSSIE,---,1975/10/21 21:15,輕度,970,30,200,70,3
,,,,,1975/10/22 15:06,,,,,,
1975,197515,艾爾西,ELSIE,5,1975/10/11 09:30,強烈,990,70,200,50,10
,,,,,1975/10/13 20:30,,,,,,
1975,197512,貝蒂,BETTY,4,1975/9/21 09:30,中度,950,45,250,100,11
,,,,,1975/9/23 21:30,,,,,,
1975,197504,婀拉,ORA,---,1975/8/10 17:00,中度,970,35,250,50,8
,,,,,1975/8/12 16:00,,,,,,
1975,197503,妮娜,NINA,2,1975/8/2 09:00,強烈,900,65,250,90,8
,,,,,1975/8/4 05:00,,,,,,
1974,197428,葛樂禮,GLORIA,---,1974/11/5 21:30,強烈,930,55,300,100,12
,,,,,1974/11/9 05:30,,,,,,
1974,197426,艾琳,ELAINE,---,1974/10/27 21:30,強烈,940,51,300,80,4
,,,,,1974/10/29 09:40,,,,,,
1974,197425,黛拉,DELLA,---,1974/10/23 10:40,中度,960,40,150,50,4
,,,,,1974/10/24 15:40,,,,,,
1974,197423,貝絲,BESS,5,1974/10/10 22:30,中度,970,38,300,150,5
,,,,,1974/10/12 22:00,,,,,,
1974,197421,范迪,WENDY,6,1974/9/26 16:30,輕度,980,30,150,30,12
,,,,,1974/9/29 10:30,,,,,,
1974,197413,露西,LUCY,---,1974/8/9 22:40,輕度,994,20,120,---,5
,,,,,1974/8/10 22:30,,,,,,
1974,197411,琴恩,JEAN,2,1974/7/18 16:50,輕度,995,25,80,---,6
,,,,,1974/7/19 22:00,,,,,,
1974,197406,鶯瑪,EMMA,---,1974/6/15 22:30,輕度,985,28,150,---,5
,,,,,1974/6/17 15:30,,,,,,
1973,197317,白西,PATSY,---,1973/10/11 10:30,強烈,890,65,300,100,4
,,,,,1973/10/12 15:30,,,,,,
1973,197315,娜拉,NORA,7,1973/10/7 22:30,強烈,875,63,350,150,12
,,,,,1973/10/10 15:00,,,,,,
1973,197311,瓊安,JOAN,---,1973/8/19 21:00,輕度,990,23,150,---,5
,,,,,1973/8/20 22:00,,,,,,
1973,197307,芙安,FRAN,---,1973/7/29 16:00,輕度,1000,18,90,---,3
,,,,,1973/7/30 14:30,,,,,,
1973,197303,畢莉,BILLIE,---,1973/7/13 15:30,強烈,920,60,220,100,14
,,,,,1973/7/17 09:40,,,,,,
1973,197301,魏達,WILDA,7,1973/7/2 10:30,輕度,980,28,200,---,6
,,,,,1973/7/3 22:00,,,,,,
1972,197213,貝蒂,BETTY,1,1972/8/14 21:30,強烈,910,65,400,300,11
,,,,,1972/8/17 14:30,,,,,,
1972,197211,溫妮,WINNIE,---,1972/8/1 08:00,輕度,990,18,60,---,4
,,,,,1972/8/2 06:00,,,,,,
1972,197208,蘇珊,SUSAN,---,1972/7/11 14:10,中度,980,35,250,---,7
,,,,,1972/7/13 10:40,,,,,,
1972,197207,莉泰,RITA,---,1972/7/22 11:00,中度,910,33,250,100,9
,,,,,1972/7/24 10:20,,,,,,
1971,197127,貝絲,BESS,2,1971/9/20 21:30,強烈,905,65,300,200,10
,,,,,1971/9/23 10:30,,,,,,
1971,197126,艾妮絲,AGNES,3,1971/9/17 10:10,中度,975,33,200,---,10
,,,,,1971/9/19 15:30,,,,,,
1971,197118,娜定,NADINE,4,1971/7/24 10:20,強烈,900,70,350,200,11
,,,,,1971/7/26 21:00,,,,,,
1971,197116,露西,LUCY,5,1971/7/18 22:30,強烈,915,55,350,150,11
,,,,,1971/7/21 22:30,,,,,,
1971,197106,寶佩,BABE,---,1971/5/5 10:30,輕度,990,25,---,---,3
,,,,,1971/5/6 10:30,,,,,,
1970,197015,芙安,FRAN,1,1970/9/6 10:40,輕度,975,25,200,---,6
,,,,,1970/9/7 16:00,,,,,,
1970,197009,魏達,WILDA,---,1970/8/10 10:30,中度,940,40,300,---,5
,,,,,1970/8/12 10:20,,,,,,
1970,197002,歐加,OLGA,---,1970/7/1 10:30,強烈,904,55,200,---,8
,,,,,1970/7/3 21:30,,,,,,
1969,196912,芙勞西,FLOSSIE,6,1969/9/30 22:00,中度,946,33,200,---,14
,,,,,1969/10/3 22:30,,,,,,
1969,196911,艾爾西,ELSIE,2,1969/9/25 16:00,強烈,895,65,400,---,9
,,,,,1969/9/27 15:40,,,,,,
1969,196909,寇拉,CORA,---,1969/8/18 10:20,中度,934,40,250,---,5
,,,,,1969/8/19 15:20,,,,,,
1969,196908,貝蒂,BETTY,1,1969/8/7 09:40,中度,973,35,150,---,7
,,,,,1969/8/8 21:20,,,,,,
1969,196906,溫妮,WINNIE,---,1969/7/31 10:20,輕度,984,25,100,---,3
,,,,,1969/8/1 10:10,,,,,,
1969,196905,衛歐拉,VIOLA,5,1969/7/25 10:20,強烈,895,60,350,---,12
,,,,,1969/7/28 21:20,,,,,,
1968,196817,艾琳,ELAINE,5,1968/9/27 10:20,強烈,910,60,400,---,16
,,,,,1968/10/1 10:20,,,,,,
1968,196816,黛拉,DELLA,---,1968/9/21 16:30,強烈,930,51,250,---,4
,,,,,1968/9/22 21:30,,,,,,
1968,196812,范迪,WENDY,5,1968/9/2 22:00,中度,915,45,300,---,19
,,,,,1968/9/7 22:00,,,,,,
1968,196809,雪莉,SHIRLEY,---,1968/8/18 21:40,輕度,955,30,250,---,6
,,,,,1968/8/21 10:00,,,,,,
1968,196808,玻莉,POLLY,---,1968/8/14 10:00,輕度,965,30,150,---,4
,,,,,1968/8/15 21:20,,,,,,
1968,196807,羅絲,ROSE,---,1968/8/10 11:00,輕度,968,30,200,---,4
,,,,,1968/8/11 21:20,,,,,,
1968,196805,娜定,NADINE,---,1968/7/22 22:00,輕度,960,25,200,---,14
,,,,,1968/7/26 22:10,,,,,,
,,,,,1968/7/28 12:30,輕度,960,25,100,---,3
,,,,,1968/7/28 21:50,,,,,,
1967,196733,吉達,GILDA,3,1967/11/15 22:10,強烈,910,60,400,---,12
,,,,,1967/11/18 21:40,,,,,,
1967,196730,黛納,DINAH,---,1967/10/24 22:40,中度,950,45,350,---,7
,,,,,1967/10/26 16:00,,,,,,
1967,196729,解拉,CARLA,5,1967/10/15 22:30,強烈,900,60,400,---,11
,,,,,1967/10/18 22:00,,,,,,
1967,196719,娜拉,NORA,2,1967/8/28 22:40,中度,982,33,200,---,11
,,,,,1967/8/30 10:20,,,,,,
1967,196718,瑪芝,MARGE,---,1967/8/26 22:20,強烈,935,60,200,---,11
,,,,,1967/8/30 10:20,,,,,,
1967,196708,葛萊拉,CLARA,3,1967/7/9 10:30,中度,960,40,200,---,11
,,,,,1967/7/12 09:10,,,,,,
1967,196707,畢莉,BILLIE,---,1967/7/4 22:30,中度,980,35,200,---,6
,,,,,1967/7/7 10:20,,,,,,
1967,196706,艾妮達,ANITA,---,1967/6/27 23:20,中度,972,35,250,---,9
,,,,,1967/6/30 10:30,,,,,,
1967,196704,衛萊特,VIOLET,---,1967/4/7 10:40,強烈,930,51,250,---,12
,,,,,1967/4/11 16:20,,,,,,
1966,196622,海倫,HELEN,---,1966/9/20 16:00,輕度,978,25,200,---,6
,,,,,1966/9/22 15:40,,,,,,
1966,196619,艾爾西,ELSIE,9,1966/9/14 15:50,強烈,943,51,200,---,6
,,,,,1966/9/17 05:00,,,,,,
1966,196617,寇拉,CORA,1,1966/9/3 22:20,強烈,917,60,200,---,15
,,,,,1966/9/7 10:30,,,,,,
1966,196615,艾麗絲,ALICE,---,1966/9/1 22:30,中度,936,40,150,---,7
,,,,,1966/9/3 21:55,,,,,,
1966,196612,蒂絲,TESS,1,1966/8/14 16:50,中度,965,38,200,---,10
,,,,,1966/8/17 10:00,,,,,,
1966,196611,蘇珊,SUSAN,---,1966/8/14 16:50,中度,985,35,100,---,10
,,,,,1966/8/17 10:00,,,,,,
1966,196607,妮娜,NINA,---,1966/7/18 09:00,中度,995,35,150,---,7
,,,,,1966/7/19 15:30,,,,,,
1966,196606,瑪美,MAMIE,---,1966/7/16 15:40,中度,993,35,100,---,3
,,,,,1966/7/17 10:00,,,,,,
1966,196603,裘迪,JUDY,9,1966/5/28 10:30,中度,970,40,150,---,12
,,,,,1966/5/31 10:00,,,,,,
1966,196602,伊瑪,IRMA,---,1966/5/19 22:10,中度,960,40,150,---,4
,,,,,1966/5/21 10:10,,,,,,
1965,196533,費依,FAYE,---,1965/11/23 23:00,強烈,930,65,---,---,3
,,,,,1965/11/24 22:30,,,,,,
1965,196525,崔絲,TRIX,---,1965/9/14 23:00,強烈,930,60,---,---,4
,,,,,1965/9/16 10:00,,,,,,
1965,196523,羅絲,ROSE,---,1965/9/1 23:00,中度,990,45,---,---,5
,,,,,1965/9/3 22:00,,,,,,
1965,196519,瑪麗,MARY,2,1965/8/17 10:00,強烈,950,75,---,---,9
,,,,,1965/8/19 21:50,,,,,,
1965,196516,琴恩,JEAN,---,1965/8/1 22:20,強烈,950,55,250,---,7
,,,,,1965/8/4 21:45,,,,,,
1965,196515,艾葳,IVY,---,1965/7/28 22:35,中度,990,35,200,---,4
,,,,,1965/7/30 09:45,,,,,,
1965,196514,哈莉,HARRIET,4,1965/7/24 22:50,強烈,970,51,300,---,11
,,,,,1965/7/27 09:40,,,,,,
1965,196512,芙瑞達,FREDA,---,1965/7/12 16:30,強烈,922,70,300,---,6
,,,,,1965/7/14 10:45,,,,,,
1965,196511,鶯瑪,EMMA,---,1965/6/23 23:00,輕度,990,30,120,---,8
,,,,,1965/6/25 22:00,,,,,,
1965,196510,黛納,DINAH,6,1965/6/16 10:15,強烈,932,65,200,---,12
,,,,,1965/6/19 10:15,,,,,,
1965,196508,寶佩,BABE,---,1965/6/4 09:30,中度,990,33,150,---,2
,,,,,1965/6/4 22:10,,,,,,
1964,196437,歐珀,OPAL,---,1964/12/14 10:00,強烈,920,75,450,---,3
,,,,,1964/12/15 10:20,,,,,,
1964,196426,戴特,DOT,---,1964/10/9 16:30,中度,972,35,150,---,3
,,,,,1964/10/10 10:20,,,,,,
1964,196420,蒂達,TILDA,---,1964/9/14 10:40,中度,970,45,150,---,8
,,,,,1964/9/15 22:00,,,,,,
1964,196419,沙莉,SALLY,---,1964/9/7 16:20,強烈,885,75,300,---,12
,,,,,1964/9/10 10:40,,,,,,
1964,196418,魯碧,RUBY,---,1964/9/2 11:10,中度,970,35,150,---,7
,,,,,1964/9/4 10:20,,,,,,
1964,196416,梅瑞,MARIE,---,1964/8/16 23:00,中度,980,35,200,---,13
,,,,,1964/8/20 10:00,,,,,,
1964,196414,凱西,KATHY,---,1964/8/16 23:00,強烈,945,55,250,---,13
,,,,,1964/8/20 10:00,,,,,,
1964,196413,裘恩,JUNE,---,1964/8/11 23:30,輕度,996,20,120,---,4
,,,,,1964/8/13 10:30,,,,,,
1964,196412,艾達,IDA,---,1964/8/5 22:30,強烈,925,65,300,---,8
,,,,,1964/8/8 10:10,,,,,,
1964,196409,芙勞西,FLOSSIE,---,1964/7/26 22:20,輕度,975,30,150,---,3
,,,,,1964/7/27 16:45,,,,,,
1964,196407,都麗絲,DORIS,---,1964/7/13 22:30,中度,980,40,200,---,7
,,,,,1964/7/15 16:00,,,,,,
1964,196405,貝蒂,BETTY,---,1964/7/3 06:00,中度,958,45,200,---,10
,,,,,1964/7/5 11:00,,,,,,
1964,196403,溫妮,WINNIE,---,1964/6/28 22:40,中度,950,45,350,---,4
,,,,,1964/6/30 10:20,,,,,,
1964,196402,衛歐拉,VIOLA,---,1964/5/26 16:20,中度,980,33,250,---,4
,,,,,1964/5/27 22:10,,,,,,
1963,196314,葛樂禮,GLORIA,1,1963/9/8 11:00,強烈,920,68,400,---,15
,,,,,1963/9/12 10:30,,,,,,
1963,196313,費依,FAYE,---,1963/9/3 22:00,強烈,960,51,300,---,8
,,,,,1963/9/5 22:10,,,,,,
1963,196308,艾妮絲,AGNES,---,1963/7/19 10:10,中度,995,43,200,---,8
,,,,,1963/7/21 16:00,,,,,,
1963,196307,范迪,WENDY,2,1963/7/14 10:50,強烈,930,65,300,---,11
,,,,,1963/7/17 09:40,,,,,,
1963,196305,崔絲,TRIX,---,1963/6/27 22:30,中度,985,33,300,---,16
,,,,,1963/7/1 22:10,,,,,,
1963,196304,雪莉,SHIRLEY,---,1963/6/16 11:00,強烈,935,60,300,---,7
,,,,,1963/6/18 23:00,,,,,,
1963,196303,羅絲,ROSE,---,1963/6/8 16:30,輕度,995,25,150,---,8
,,,,,1963/6/11 22:40,,,,,,
1962,196226,凱倫,KAREN,---,1962/11/13 22:25,強烈,---,70,400,---,7
,,,,,1962/11/15 21:55,,,,,,
1962,196222,吉達,GILDA,---,1962/10/25 22:20,強烈,---,53,350,---,5
,,,,,1962/10/27 21:50,,,,,,
1962,196219,黛納,DINAH,5,1962/10/1 07:30,強烈,950,51,350,---,12
,,,,,1962/10/3 22:00,,,,,,
1962,196216,愛美,AMY,2,1962/9/1 16:15,強烈,910,70,400,---,19
,,,,,1962/9/6 09:45,,,,,,
1962,196215,萬達,WANDA,5,1962/8/28 22:30,中度,945,48,350,---,11
,,,,,1962/8/31 21:40,,,,,,
1962,196212,莎拉,SARAH,---,1962/8/15 20:00,強烈,---,55,150,---,16
,,,,,1962/8/19 10:00,,,,,,
1962,196209,歐珀,OPAL,2,1962/8/3 10:00,強烈,905,75,350,---,12
,,,,,1962/8/6 22:00,,,,,,
1962,196208,娜拉,NORA,---,1962/7/29 10:15,中度,---,35,400,---,10
,,,,,1962/8/1 15:40,,,,,,
1962,196206,魯依絲,LOUISE,---,1962/7/19 17:00,---,---,48,250,---,---
,,,,,1962/7/23 21:50,,,,,,
1962,196205,凱蒂,KATE,6,1962/7/19 17:00,中度,965,38,200,---,18
,,,,,1962/7/23 21:50,,,,,,
1962,196204,瓊安,JOAN,---,1962/7/7 22:30,中度,---,40,200,---,5
,,,,,1962/7/9 22:00,,,,,,
1962,196203,艾瑞絲,IRIS,---,1962/5/28 07:30,中度,---,33,100,---,4
,,,,,1962/5/29 10:00,,,,,,
1962,196202,賀普,HOPE,---,1962/5/19 10:00,中度,---,33,200,---,6
,,,,,1962/5/20 15:25,,,,,,
1961,196123,蒂達,TILDA,---,1961/10/1 22:00,強烈,925,65,400,---,11
,,,,,1961/10/4 10:00,,,,,,
1961,196122,沙莉,SALLY,4,1961/9/26 22:30,中度,980,40,300,---,10
,,,,,1961/9/29 11:00,,,,,,
1961,196121,魯碧,RUBY,---,1961/9/26 22:30,---,998,28,80,---,---
,,,,,1961/9/29 11:00,,,,,,
1961,196120,波密拉,PAMELA,2,1961/9/11 10:00,強烈,915,65,250,---,7
,,,,,1961/9/12 22:00,,,,,,
1961,196119,歐加,OLGA,---,1961/8/23 22:30,---,985,36,150,---,---
,,,,,1961/8/26 10:30,,,,,,
1961,196118,南施,NANCY,---,1961/9/13 11:30,強烈,846,100,650,---,7
,,,,,1961/9/15 10:30,,,,,,
1961,196117,梅瑞,MARIE,---,1961/8/4 23:00,---,998,23,120,---,---
,,,,,1961/8/8 11:30,,,,,,
1961,196116,勞娜,LORNA,4,1961/8/23 22:30,強烈,947,60,300,---,9
,,,,,1961/8/26 10:30,,,,,,
1961,196114,裘恩,JUNE,2,1961/8/4 23:00,中度,960,50,150,---,12
,,,,,1961/8/8 11:30,,,,,,
1961,196112,海倫,HELEN,---,1961/7/13 00:30,---,972,51,200,---,---
,,,,,1961/7/15 10:00,,,,,,
1961,196111,葛瑞絲,GRACE,---,1961/6/30 11:00,---,998,21,80,---,---
,,,,,1961/7/1 12:00,,,,,,
1961,196110,芙勞西,FLOSSIE,---,1961/7/16 23:30,輕度,992,20,150,---,6
,,,,,1961/7/19 11:00,,,,,,
1961,196109,艾爾西,ELSIE,5,1961/7/13 00:30,中度,975,45,150,---,9
,,,,,1961/7/15 10:00,,,,,,
1961,196108,都麗絲,DORIS,---,1961/6/30 11:00,輕度,990,20,150,---,5
,,,,,1961/7/1 23:00,,,,,,
1961,196104,貝蒂,BETTY,6,1961/5/24 18:00,強烈,945,60,300,---,13
,,,,,1961/5/27 22:00,,,,,,
1961,196103,艾麗絲,ALICE,---,1961/5/19 10:30,中度,985,40,250,---,4
,,,,,1961/5/20 23:00,,,,,,
1960,196018,葛樂禮,GLORIA,---,1960/9/2 13:00,輕度,1002,18,100,---,3
,,,,,1960/9/3 12:00,,,,,,
1960,196015,艾琳,ELAINE,特殊,1960/8/20 18:00,中度,975,40,150,---,18
,,,,,1960/8/24 23:00,,,,,,
1960,196014,卡門,CARMEN,---,1960/8/16 00:00,中度,975,35,200,---,10
,,,,,1960/8/20 18:00,,,,,,
1960,196012,艾妮絲,AGNES,2,1960/8/13 13:00,輕度,994,25,200,---,6
,,,,,1960/8/15 12:00,,,,,,
1960,196010,佛琴尼,VIRGINI,---,1960/8/13 13:00,---,---,---,---,---,---
,,,,,1960/8/15 12:00,,,,,,
1960,196009,崔絲,TRIX,1,1960/8/7 00:00,強烈,930,60,300,---,9
,,,,,1960/8/9 11:00,,,,,,
1960,196008,雪莉,SHIRLEY,2,1960/7/30 00:00,強烈,920,55,250,---,15
,,,,,1960/8/2 17:00,,,,,,
1960,196007,羅絲,ROSE,---,1960/7/30 00:00,---,---,---,---,---,---
,,,,,1960/8/2 17:00,,,,,,
1960,196006,玻莉,POLLY,---,1960/7/18 13:00,中度,950,40,250,---,12
,,,,,1960/7/21 10:00,,,,,,
,,,,,1960/7/22 00:00,強烈,950,55,300,---,13
,,,,,1960/7/27 10:00,,,,,,
1960,196005,歐莉芙,OLIVE,---,1960/6/26 00:00,中度,950,45,200,---,9
,,,,,1960/6/30 00:00,,,,,,
1960,196004,娜定,NADINE,---,1960/6/5 00:00,中度,985,35,250,---,4
,,,,,1960/6/6 13:00,,,,,,
1960,196003,瑪麗,MARY,9,1960/6/7 01:00,中度,980,35,300,---,11
,,,,,1960/6/11 12:00,,,,,,
1960,196001,凱倫,KAREN,---,1960/4/25 18:00,輕度,990,25,150,---,4
,,,,,1960/4/27 00:00,,,,,,
1959,195921,芙瑞達,FREDA,6,1959/11/17 12:00,中度,945,40,250,---,9
,,,,,1959/11/19 23:00,,,,,,
1959,195920,鶯瑪,EMMA,---,1959/11/10 23:00,中度,960,45,250,---,6
,,,,,1959/11/13 12:00,,,,,,
1959,195918,夏綠蒂,CHARLOTTE,---,1959/10/12 11:00,強烈,905,55,250,---,15
,,,,,1959/10/16 23:00,,,,,,
1959,195917,巴布絲,BABS,8,1959/10/8 00:00,輕度,1000,18,150,---,9
,,,,,1959/10/9 22:00,,,,,,
1959,195916,愛美,AMY,---,1959/10/3 18:00,中度,990,35,250,---,8
,,,,,1959/10/6 12:00,,,,,,
1959,195914,莎拉,SARAH,---,1959/9/14 00:00,強烈,905,60,400,---,11
,,,,,1959/9/16 23:00,,,,,,
1959,195912,娜?,NORA,---,1959/9/8 00:00,輕度,990,18,150,---,5
,,,,,1959/9/9 18:00,,,,,,
,,,,,1959/9/11 09:00,輕度,990,25,200,---,4
,,,,,1959/9/12 12:00,,,,,,
1959,195911,魯依絲,LOUISE,3,1959/9/2 01:00,中度,965,45,250,---,12
,,,,,1959/9/5 12:00,,,,,,
1959,195910,凱蒂,KATE,---,1959/8/26 18:00,輕度,998,20,150,---,4
,,,,,1959/8/28 12:00,,,,,,
1959,195909,瓊安,JOAN,3,1959/8/28 12:00,強烈,885,75,600,---,13
,,,,,1959/8/31 12:00,,,,,,
1959,195908,艾瑞絲,IRIS,5,1959/8/20 18:00,中度,960,45,250,---,12
,,,,,1959/8/23 12:00,,,,,,
1959,195906,艾倫,ELLEN,---,1959/8/4 00:00,中度,965,45,300,---,6
,,,,,1959/8/6 00:00,,,,,,
1959,195905,畢莉,BILLIE,1,1959/7/13 00:00,中度,965,45,300,---,11
,,,,,1959/7/16 18:00,,,,,,
1959,195904,魏達,WILDA,---,1959/7/4 23:00,輕度,995,25,150,---,4
,,,,,1959/7/6 12:00,,,,,,
1958,195814,海倫,HELEN,---,1958/9/12 00:00,強烈,920,55,300,---,8
,,,,,1958/9/15 12:00,,,,,,
1958,195813,葛瑞絲,GRACE,1,1958/9/1 12:00,強烈,910,75,350,---,13
,,,,,1958/9/4 23:00,,,,,,
1958,195808,貝蒂,BETTY,---,1958/7/13 12:00,---,985,---,---,---,---
,,,,,1958/7/16 12:00,,,,,,
1958,195807,溫妮,WINNIE,3,1958/7/13 12:00,強烈,925,50,350,---,12
,,,,,1958/7/17 00:00,,,,,,
1958,195805,蒂絲,TESS,---,1958/7/5 00:00,中度,995,30,150,---,3
,,,,,1958/7/6 00:00,,,,,,
